Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp1DISCV0;fsp1SOMCV0;fsp1CTMCV0";p1;p2;;good afternoon ; good afternoon ;;;;;;;;dap1DIS0: opening;dap1SOM0: initGreeting;dap1CTM0:contactManagement:contactIndication;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening (Fe:fsp2DISFB0);dap2SOM0: returnGreeting (Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication (Fu:dap1CTM0);;
"fsp1TUMCV0;fsp1TIMCV0";p1;p2;;uh what's your name ; uh ;;;;dap1TUM0: turnTake;dap1TIM0: stalling;;;;;;;
fsp1SOMCV1;p1;p2;;; whats your name ;;;;;;;;;dap1SOM1: setQuestion;;;
fsp2SOMCV1;p2;p1;;my name is gregor linn ; my name is gregor linn ;;;;;;;;;dap2SOM1: setAnswer (Fu:dap1SOM1);;;
"fsp1AUFCV0;fsp1SOMCV2";p1;p2;;nice to meet you ; nice to meet you ;;dap1AUF0: autoPositive (Fe:fsp1AUFFB0);;;;;;;dap1SOM2: initGreeting [positive] (Fe:fsp1SOMFB2);;;
"fsp2AUFCV0;fsp2SOMCV2";p2;p1;;nice to meet you ; nice to meet you ;;dap2AUF0: autoPositive [positive] (Fe:fsp2AUFFB0);;;;;;;dap2SOM2: returnGreeting [positive] (Fu:dap1SOM2);;;
"fsp1TUMCV1;fsp1TIMCV1";p1;p2;;uh how are you doing today ; uh ;;;;dap1TUM1: turnTake;dap1TIM1: stalling;;;;;;;
fsp1SOMCV3;p1;p2;;; how are you doing today ;;;;;;;;;dap1SOM3: setQuestion;;;
fsp2TUMCV0;p2;p1;;mh fine ; mh ;;;;dap2TUM0: turnAccept;;;;;;;;
fsp2SOMCV3;p2;p1;;; fine ;;;;;;;;;dap2SOM3: setAnswer (Fu:dap1SOM3);;;
"fsp1AUFCV1;fsp1OCMCV0";p1;p2;;i'm doing well too uh let's play so first i'll tell you the rules i am a very famous person ; im doing well too ;;dap1AUF1: autoPositive (Fe:fsp1AUFFB1);;;;dap1OCM0: inform;;;;;;
"fsp1TUMCV2;fsp1TIMCV2";p1;p2;;; uh ;;;;dap1TUM2: turnKeep;dap1TIM2: stalling;;;;;;;
fsp1TSMCV0;p1;p2;;; lets play ;;;;;;;;;;dap1TSM0:taskManagement:suggest;;
"fsp1TSMCV1;fsp1DISCV1";p1;p2;;; so first ill tell you the rules ;;;;;;;;dap1DIS1: interactionStructuring;;dap1TSM1:taskManagement:inform;;
fsp1TSMCV2;p1;p2;;; i am a very famous person ;;;;;;;;;;dap1TSM2:taskManagement:inform;;
fsp2AUFCV1;p2;p1;;okay ; okay ;;dap2AUF1: autoPositive (Fe:fsp2AUFFB1);;;;;;;;;;
"fsp1TUMCV3;fsp1TIMCV3";p1;p2;;uh you need to guess my name ; uh ;;;;dap1TUM3: turnKeep;dap1TIM3: stalling;;;;;;;
fsp1TSMCV3;p1;p2;;; you need to guess my name ;;;;;;;;;;dap1TSM3:taskManagement:instruct;;
fsp2AUFCV2;p2;p1;;okay ; okay ;;dap2AUF2: autoPositive (Fe:fsp2AUFFB2);;;;;;;;;;
fsp1TSMCV4;p1;p2;;you can ask several questions except for one about my name ; you can ask several questions except for one about my name ;;;;;;;;;;dap1TSM4:taskManagement:instruct;;
fsp2AUFCV3;p2;p1;;okay ; okay ;;dap2AUF3: autoPositive (Fe:fsp2AUFFB3);;;;;;;;;;
fsp1TSMCV5;p1;p2;;you do not have to ask yes or no questions you can also ask open-ended questions ; you do not have to ask yes or no questions ;;;;;;;;;;dap1TSM5:taskManagement:instruct;;
fsp1TSMCV6;p1;p2;;; you can also ask open-ended questions ;;;;;;;;;;dap1TSM6:taskManagement:instruct {elaboration dap1TSM5};;
"fsp2TSMCV0;fsp2AUFCV4";p2;p1;;okay i understand ; okay i understand ;;dap2AUF4: autoPositive (Fe:fsp2AUFFB4);;;;;;;;dap2TSM0:taskManagement:inform;;
fsp1TSMCV7;p1;p2;;you have ten tries and if after ten questions or earlier you guess my name correctly you have won the game if not you've lost the game ; you have ten tries ;;;;;;;;;;dap1TSM7:taskManagement:inform;;
fsp1TSMCV8;p1;p2;;; and if after ten questions or earlier you guess my name correctly ;;;;;;;;;;dap1TSM8:taskManagement:inform {cause da};;
fsp1TSMCV9;p1;p2;;; you have won the game ;;;;;;;;;;dap1TSM9:taskManagement:inform;;
fsp1TSMCV10;p1;p2;;; if not youve lost the game ;;;;;;;;;;dap1TSM10:taskManagement:inform;;
fsp2AUFCV5;p2;p1;;okay and ; okay ;;dap2AUF5: autoPositive (Fe:fsp2AUFFB5);;;;;;;;;;
fsp2TUMCV1;p2;p1;;; and ;;;;dap2TUM1: turnGrab;;;;;;;;
fsp1TSMCV11;p1;p2;;you should mhm ; you should ;;;;;;;;;;dap1TSM11:taskManagement:instruct;;
"fsp1AUFCV2;fsp1TUMCV4";p1;p2;;; mhm ;;dap1AUF2: autoPositive (Fe:fsp1AUFFB2);;dap1TUM4: turnRelease (Fu:dap2TUM1);;;;;;;;
fsp2TSMCV1;p2;p1;;what is it what you answer uh is is ; what is it what you answer ;;;;;;;;;;dap2TSM1:taskManagement:setQuestion;;
"fsp2TUMCV2;fsp2TIMCV0";p2;p1;;; uh is ;;;;dap2TUM2: turnKeep;dap2TIM0: stalling;;;;;;;
fsp2OCMCV0;p2;p1;;; is ;;;;;;dap2OCM0: selfCorrection (Fu:dap233);;;;;;
"fsp1TUMCV5;fsp1TIMCV4";p1;p2;;uhm could you repeat the questions could you clarify the question ; uhm ;;;;dap1TUM5: turnAccept;dap1TIM4: stalling;;;;;;;
fsp1AUFCV3;p1;p2;;; could you repeat the questions ;;dap1AUF3: autoNegative (Fe:fsp1AUFFB3);;;;;;;;;;
fsp1AUFCV4;p1;p2;;; could you clarify the question ;;dap1AUF4: autoNegative (Fe:fsp1AUFFB4) {elaboration dap1AUF3};;;;;;;;;;
"fsp2TUMCV3;fsp2TIMCV1";p2;p1;;uhm are you just saying yes or no or uh ; uhm ;;;;dap2TUM3: turnTake;dap2TIM1: stalling;;;;;;;
fsp2TSMCV2;p2;p1;;; are you just saying yes or no or ;;;;;;;;;;dap2TSM2:taskManagement:choiceQuestion (Fu:dap1TSM7);;
"fsp2TUMCV4;fsp2TIMCV2";p2;p1;;; uh ;;;;dap2TUM4: turnKeep;dap2TIM2: stalling;;;;;;;
"fsp1TSMCV12;fsp1TUMCV6";p1;p2;;no i will if you ask me yes or no question i will say yes or no i will ; no ;;;;dap1TUM6: turnGrab;;;;;;dap1TSM12:taskManagement:propositionalAnswer (Fu:dap2TSM2);;
fsp1TSMCV13;p1;p2;;; i will if you ask me yes or no question i will say yes or no ;;;;;;;;;;dap1TSM13:taskManagement:inform {elaboration dap1TSM12};;
fsp1OCMCV1;p1;p2;;; i will ;;;;;;dap1OCM1: selfCorrection (Fu:dap1141);;;;;;
fsp2AUFCV6;p2;p1;;okay ; okay ;;dap2AUF6: autoPositive (Fe:fsp2AUFFB6);;;;;;;;;;
"fsp1TUMCV7;fsp1TIMCV5";p1;p2;;uhm if you ask me a more open-ended question i will try to answer the question uh i won't always have an answer to your question though ; uhm ;;;;dap1TUM7: turnKeep;dap1TIM5: stalling;;;;;;;
fsp1TSMCV14;p1;p2;;; if you ask me a more open-ended question i will try to answer the question ;;;;;;;;;;dap1TSM14:taskManagement:inform {elaboration dap1TSM13};;
"fsp1TUMCV8;fsp1TIMCV6";p1;p2;;; uh ;;;;dap1TUM8: turnKeep;dap1TIM6: stalling;;;;;;;
fsp1TSMCV15;p1;p2;;; i wont always have an answer to your question though ;;;;;;;;;;dap1TSM15:taskManagement:inform {contrast dap1TSM14};;
fsp2AUFCV7;p2;p1;;okay ; okay ;;dap2AUF7: autoPositive (Fe:fsp2AUFFB7);;;;;;;;;;
"fsp1TUMCV9;fsp1TIMCV7";p1;p2;;uhm alright do you understand the rules ; uhm ;;;;dap1TUM9: turnKeep;dap1TIM7: stalling;;;;;;;
fsp1DISCV2;p1;p2;;; alright ;;;;;;;;dap1DIS2: interactionStructuring;;;;
fsp1TSMCV16;p1;p2;;; do you understand the rules ;;;;;;;;;;dap1TSM16:taskManagement:propositionalQuestion;;
fsp2TSMCV3;p2;p1;;yeah ; yeah ;;;;;;;;;;dap2TSM3:taskManagement:confirm (Fu:dap1TSM16);;
fsp1TSMCV17;p1;p2;;would you like me to repeat anything would you ; would you like me to repeat anything ;;;;;;;;;;dap1TSM17:taskManagement:offer;;
fsp1OCMCV2;p1;p2;;; would you ;;;;;;dap1OCM2: selfCorrection (Fu:dap1202);;;;;;
fsp2TSMCV4;p2;p1;;no i think i understood everything mh ; no ;;;;;;;;;;dap2TSM4:taskManagement:declineOffer (Fu:dap1TSM17);;
fsp2TSMCV5;p2;p1;;; i think i understood everything ;;;;;;;;;;dap2TSM5:taskManagement:inform [uncertain] {elaboration dap2TSM4};;
"fsp2TUMCV5;fsp2TIMCV3";p2;p1;;; mh ;;;;dap2TUM5: turnKeep;dap2TIM3: stalling;;;;;;;
fsp1AUFCV5;p1;p2;;alright alright and one more important thing and one more important thing i will only be female famous people uh ; alright ;;dap1AUF5: autoPositive (Fe:fsp1AUFFB5);;;;;;;;;;
fsp1DISCV3;p1;p2;;; alright and one more important thing ;;;;;;;;dap1DIS3: interactionStructuring;;;;
fsp1TSMCV18;p1;p2;;; and one more important thing ;;;;;;;;;;dap1TSM18:taskManagement:inform;;
fsp1TSMCV19;p1;p2;;; i will only be female famous people ;;;;;;;;;;dap1TSM19:taskManagement:inform;;
"fsp1TUMCV10;fsp1TIMCV8";p1;p2;;; uh ;;;;dap1TUM10: turnKeep;dap1TIM8: stalling;;;;;;;
fsp2AUFCV8;p2;p1;;ah okay ; ah okay ;;dap2AUF8: autoPositive (Fe:fsp2AUFFB8);;;;;;;;;;
