Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp1DISCV0;fsp1SOMCV0;fsp1CTMCV0";p1;p2;;hello ; hello ;;;;;;;;dap1DIS0: opening;dap1SOM0: initGreeting;dap1CTM0:contactManagement:contactIndication;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening(Fu:dap1DIS0);dap2SOM0: returnGreeting(Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication;;
"fsp1TUMCV0;fsp1TIMCV0";p1;p2;;uhm good afternoon almost evening uhm what is your name ; uhm ;;;;dap1TUM0: turnTake;dap1TIM0: stalling;;;;;;;
fsp1SOMCV1;p1;p2;;; good afternoon almost evening ;;;;;;;;;dap1SOM1: initGreeting;;;
"fsp1TUMCV1;fsp1TIMCV1";p1;p2;;; uhm ;;;;dap1TUM1: turnKeep;dap1TIM1: stalling;;;;;;;
fsp1SOMCV2;p1;p2;;; what is your name ;;;;;;;;;dap1SOM2: setQuestion;;;
"fsp2TSKCV0;fsp2SOMCV1";p2;p1;;my name is nikolina ; my name is nikolina ;dap2TSK0: setAnswer(Fu:dap1TSK0);;;;;;;;dap2SOM1: initSelfIntroduction(Fu:dap1SOM2);;;
fsp1SOMCV3;p1;p2;;hello nikolina it's nice to meet you nikolina ; hello nikolina its nice to meet you ;;;;;;;;;dap1SOM3: initGreeting;;;
fsp1OCMCV0;p1;p2;;; nikolina ;;;;;;dap1OCM0: selfCorrection(Fe:fsp1OCMFB0);;;;;;
fsp2SOMCV2;p2;p1;;Nice to meet you ; Nice to meet you ;;;;;;;;;dap2SOM2: returnGreeting(Fu:dap1SOM3);;;
"fsp1TUMCV2;fsp1TIMCV2";p1;p2;;uhm so how are you doing today ; uhm ;;;;dap1TUM2: turnTake;dap1TIM2: stalling;;;;;;;
"fsp1TIMCV3;fsp1DISCV1";p1;p2;;; so ;;;;;dap1TIM3: stalling;;;dap1DIS1: interactionStructuring;;;;
fsp1SOMCV4;p1;p2;;; how are you doing today ;;;;;;;;;dap1SOM4: setQuestion;;;
"fsp2TSMCV0;fsp2SOMCV3";p2;p1;;good thank you ; good ;;;;;;;;;dap2SOM3: setAnswer(Fu:dap1SOM4);dap2TSM0:taskManagement:answer(Fu:dap1TSM1);;
fsp2SOMCV4;p2;p1;;; thank you ;;;;;;;;;dap2SOM4: thanking(Fe:fsp2SOMFB4);;;
"fsp1AUFCV0;fsp1TUMCV3";p1;p2;;alright alright so today we are going to play a game and here are the rules i'm a very famous person and you need to guess my name you can ask whatever questions you want of me except for my name directly uhm you have at most ten questions and then you get to guess my name exactly once so you can ask whatever questions you want but then if you want to guess my name you only get one try uhm if you get my name correct you win if you get my name incorrect or choose to pass then you lose uhm and then we'll move on to the next round do you understand and are comfortable with the rules uh ; alright ;;dap1AUF0: autoPositive(Fe:fsp1AUFFB0);;dap1TUM3: turnTake;;;;;;;;
fsp1DISCV2;p1;p2;;; alright so ;;;;;;;;dap1DIS2: interactionStructuring;;;;
fsp1TSMCV0;p1;p2;;; today we are going to play a game and here are the rules ;;;;;;;;;;dap1TSM0:taskManagement:inform;;
fsp1TSMCV1;p1;p2;;; im a very famous person ;;;;;;;;;;dap1TSM1:taskManagement:inform;;
fsp1TSMCV2;p1;p2;;; and you need to guess my name ;;;;;;;;;;dap1TSM2:taskManagement:inform;;
fsp1TSMCV3;p1;p2;;; you can ask whatever questions you want of me except for my name directly ;;;;;;;;;;dap1TSM3:taskManagement:instruct;;
"fsp1TUMCV4;fsp1TIMCV4";p1;p2;;; uhm ;;;;dap1TUM4: turnKeep;dap1TIM4: stalling;;;;;;;
fsp1TSMCV4;p1;p2;;; you have at most ten questions ;;;;;;;;;;dap1TSM4:taskManagement:inform;;
fsp1TSMCV5;p1;p2;;; and then you get to guess my name exactly once ;;;;;;;;;;dap1TSM5:taskManagement:instruct;;
fsp1TSMCV6;p1;p2;;; so you can ask whatever questions you want ;;;;;;;;;;dap1TSM6:taskManagement:instruct {elaboration dap1TSM4};;
fsp1TSMCV7;p1;p2;;; but then if you want to guess my name you only get one try ;;;;;;;;;;dap1TSM7:taskManagement:instruct {elaboration dap1TSM5};;
"fsp1TUMCV5;fsp1TIMCV5";p1;p2;;; uhm ;;;;dap1TUM5: turnKeep;dap1TIM5: stalling;;;;;;;
fsp1TSMCV8;p1;p2;;; if you get my name correct you win ;;;;;;;;;;dap1TSM8:taskManagement:inform;;
fsp1TSMCV9;p1;p2;;; if you get my name incorrect or choose to pass then you lose ;;;;;;;;;;dap1TSM9:taskManagement:inform;;
"fsp1TUMCV6;fsp1TIMCV6";p1;p2;;; uhm ;;;;dap1TUM6: turnKeep;dap1TIM6: stalling;;;;;;;
fsp1TSMCV10;p1;p2;;; and then well move on to the next round ;;;;;;;;;;dap1TSM10:taskManagement:inform;;
fsp1TSMCV11;p1;p2;;; do you understand and are comfortable with the rules ;;;;;;;;;;dap1TSM11:taskManagement:propositionalQuestion;;
"fsp1TUMCV7;fsp1TIMCV7";p1;p2;;; uh ;;;;dap1TUM7: turnKeep;dap1TIM7: stalling;;;;;;;
fsp2TSMCV1;p2;p1;;yeah yeah so the name is kind of a famous person yeah yeah okay ; yeah yeah ;;;;;;;;;;dap2TSM1:taskManagement:propositionalAnswer(Fu:dap1TSM11);;
fsp2AUFCV0;p2;p1;;; so the name is kind of a famous person yeah ;;dap2AUF0: checkQuestion(Fe:fsp2AUFFB0);;;;;;;;;;
fsp2ALFCV0;p2;p1;;; yeah ;;;dap2ALF0: feedbackElicitation(Fe:fsp2ALFFB0);;;;;;;;;
fsp2AUFCV1;p2;p1;;; okay ;;dap2AUF1: autoPositive;;;;;;;;;;
fsp1ALFCV0;p1;p2;;yes i am a famous person and ; yes ;;;dap1ALF0: confirm(Fu:dap2AUF0);;;;;;;;;
