Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp1TUMCV0;fsp1DISCV0;fsp1CV0";p1;p2;;right ; right ;;;;dap1TUM0: turnTake;;;;dap1DIS0: opening;;dap10:contactManagement:contactIndication;;
"fsp2AUFCV0;fsp2ALFCV0;fsp2CV0";p2;p1;;nonvocal ; nonvocal ;;dap2AUF0: autoPositive (Fe:fsp2AUFFB0);dap2ALF0: alloPositive (Fe:fsp2ALFFB0);;;;;;;dap20:contactManagement:contactIndication;;
fsp1TSKCV0;p1;p2;;go south and you'll pass some cliffs on your right ; go south and youll pass some cliffs on your right ;dap1TSK0: instruct;;;;;;;;;;;
fsp2TSKCV0;p2;p1;;okay yeah ; okay ;dap2TSK0: acceptRequest (Fu:dap1TSK0);;;;;;;;;;;
fsp2TSKCV1;p2;p1;;; yeah ;dap2TSK1: acceptRequest (Fu:dap1TSK0);;;;;;;;;;;
fsp1TSKCV1;p1;p2;;and keep going down south ; and keep going down south ;dap1TSK1: instruct;;;;;;;;;;;
fsp2TSKCV2;p2;p1;;mmhmm ; mmhmm ;dap2TSK2: acceptRequest (Fu:dap1TSK1);;;;;;;;;;;
fsp1TSKCV2;p1;p2;;past a forge on your right ; past a forge on your right ;dap1TSK2: instruct {restatement dap1TSK1};;;;;;;;;;;
fsp2AUFCV1;p2;p1;;past a what ; past a what ;;dap2AUF1: setQuestion (Fe:fsp2AUFFB1);;;;;;;;;;
fsp1ALFCV0;p1;p2;;a forge well nonvocal keep going down right and then loop towards the east ; a forge ;;;dap1ALF0: answer (Fu:dap2AUF1);;;;;;;;;
fsp1TUMCV1;p1;p2;;; well ;;;;dap1TUM1: turnKeep;;;;;;;;
fsp1TSKCV3;p1;p2;;; nonvocal keep going down ;dap1TSK3: instruct;;;;;;;;;;;
"fsp1AUFCV0;fsp1TUMCV2";p1;p2;;; right ;;dap1AUF0: autoPositive;;dap1TUM2: turnTake;;;;;;;;
fsp1TSKCV4;p1;p2;;; and then loop towards the east ;dap1TSK4: instruct {asynchrony dap1TSK3};;;;;;;;;;;
fsp2TSKCV3;p2;p1;;underneath what wheatfields so i go straight ; underneath what wheatfields ;dap2TSK3: checkQuestion;;;;;;;;;;;
fsp2TSKCV4;p2;p1;;; so i go straight ;dap2TSK4: checkQuestion {restatement dap2TSK3};;;;;;;;;;;
fsp1TSKCV5;p1;p2;;not as far down as that ; not as far down as that ;dap1TSK5: disconfirm (Fu:dap2TSK3);;;;;;;;;;;
fsp2AUFCV2;p2;p1;;not as far down as that ; not as far down as that ;;dap2AUF2: autoPositive (Fe:fsp2AUFFB2);;;;;;;;;;
fsp1ALFCV1;p1;p2;;no ; no ;;;dap1ALF1: alloPositive (Fe:fsp1ALFFB1);;;;;;;;;
"fsp2TSKCV5;fsp2AUFCV3";p2;p1;;right and do a loop ; right ;dap2TSK5: acceptRequest (Fu:dap1TSK4);dap2AUF3: autoPositive (Fe:fsp2AUFFB3);;;;;;;;;;
fsp2AUFCV4;p2;p1;;; and do a loop ;;dap2AUF4: autoPositive (Fe:fsp2AUFFB4);;;;;;;;;;
fsp1ALFCV2;p1;p2;;and do a loop and then start going back up again you're going northeast ; and do a loop ;;;dap1ALF2: alloPositive (Fe:fsp1ALFFB2);;;;;;;;;
fsp1TSKCV6;p1;p2;;; and then start going back up again ;dap1TSK6: instruct {asynchrony dap1TSK4};;;;;;;;;;;
fsp1TSKCV7;p1;p2;;; youre going northeast ;dap1TSK7: instruct;;;;;;;;;;;
fsp2TSKCV6;p2;p1;;right ; right ;dap2TSK6: acceptRequest (Fu:dap1TSK7);;;;;;;;;;;
fsp1AUFCV1;p1;p2;;right you there's a ; right ;;dap1AUF1: autoPositive (Fe:fsp1AUFFB1);;;;;;;;;;
fsp1TSKCV8;p1;p2;;; you theres a ;dap1TSK8: checkQuestion;;;;;;;;;;;
fsp2TSKCV7;p2;p1;;and am i come like between these cliffs and pine or ; and am i come like between these cliffs and pine or ;dap2TSK7: choiceQuestion;;;;;;;;;;;
fsp1AUFCV2;p1;p2;;oh you past the pine pine's on your right ; oh ;;dap1AUF2: autoPositive (Fe:fsp1AUFFB2);;;;;;;;;;
fsp1TSKCV9;p1;p2;;; you past the pine ;dap1TSK9: answer (Fu:dap2TSK7);;;;;;;;;;;
fsp1TSKCV10;p1;p2;;; pines on your right ;dap1TSK10: inform {restatement dap1TSK9};;;;;;;;;;;
fsp2AUFCV5;p2;p1;;right okay ; right ;;dap2AUF5: autoPositive (Fe:fsp2AUFFB5);;;;;;;;;;
fsp2TSKCV8;p2;p1;;; okay ;dap2TSK8: acceptRequest (Fu:dap1TSK6);;;;;;;;;;;
fsp1TSKCV11;p1;p2;;and go up past it 'til you're just above the top of the pine ; and go up past it ;dap1TSK11: instruct;;;;;;;;;;;
fsp1TSKCV12;p1;p2;;; til youre just above the top of the pine ;dap1TSK12: instruct {elaboration dap1TSK11};;;;;;;;;;;
fsp2AUFCV6;p2;p1;;right okay ; right ;;dap2AUF6: autoPositive (Fe:fsp2AUFFB6);;;;;;;;;;
fsp2TSKCV9;p2;p1;;; okay ;dap2TSK9: acceptRequest (Fu:dap1TSK11);;;;;;;;;;;
fsp1TSKCV13;p1;p2;;and then east again ; and then east again ;dap1TSK13: instruct;;;;;;;;;;;
fsp2AUFCV7;p2;p1;;east again ; east again ;;dap2AUF7: autoPositive (Fe:fsp2AUFFB7);;;;;;;;;;
fsp1ALFCV3;p1;p2;;east again ; east again ;;;dap1ALF3: alloPositive (Fe:fsp1ALFFB3);;;;;;;;;
fsp2AUFCV8;p2;p1;;right okay right sorry ; right ;;dap2AUF8: autoPositive (Fe:fsp2AUFFB8);;;;;;;;;;
fsp2TSKCV10;p2;p1;;; okay ;dap2TSK10: acceptRequest (Fu:dap1TSK13);;;;;;;;;;;
"fsp2AUFCV9;fsp2TUMCV0";p2;p1;;; right ;;dap2AUF9: autoPositive (Fe:fsp2AUFFB9);;dap2TUM0: turnRelease;;;;;;;;
fsp2SOMCV0;p2;p1;;; sorry ;;;;;;;;;dap2SOM0: apology;;;
"fsp1AUFCV3;fsp1ALFCV4";p1;p2;;right ; right ;;dap1AUF3: autoPositive (Fe:fsp1AUFFB3);dap1ALF4: alloPositive (Fe:fsp1ALFFB4);;;;;;;;;
fsp2AUFCV10;p2;p1;;right ; right ;;dap2AUF10: autoPositive (Fe:fsp2AUFFB10);;;;;;;;;;
"fsp1AUFCV4;fsp1ALFCV5;fsp1TUMCV3";p1;p2;;right east sort of for a wee bit um and then start going southeast ; right ;;dap1AUF4: autoPositive (Fe:fsp1AUFFB4);dap1ALF5: alloPositive (Fe:fsp1ALFFB5);dap1TUM3: turnTake;;;;;;;;
fsp1TSKCV14;p1;p2;;; east ;dap1TSK14: instruct {restatement dap1TSK13};;;;;;;;;;;
fsp1TSKCV15;p1;p2;;; sort of for a wee bit ;dap1TSK15: inform {elaboration dap1TSK14};;;;;;;;;;;
"fsp1TUMCV4;fsp1TIMCV0";p1;p2;;; um ;;;;dap1TUM4: turnKeep;dap1TIM0: stalling;;;;;;;
fsp1TSKCV16;p1;p2;;; and then start going southeast ;dap1TSK16: instruct;;;;;;;;;;;
fsp2AUFCV11;p2;p1;;right okay ; right ;;dap2AUF11: autoPositive (Fe:fsp2AUFFB11);;;;;;;;;;
fsp2TSKCV11;p2;p1;;; okay ;dap2TSK11: acceptRequest (Fu:dap1TSK16);;;;;;;;;;;
fsp1TSKCV17;p1;p2;;pine forest on your way ; pine forest on your way ;dap1TSK17: inform {elaboration dap1TSK16};;;;;;;;;;;
"fsp2AUFCV12;fsp2TUMCV1;fsp2TIMCV0";p2;p1;;ehm yeah that's right uh-huh ; ehm ;;dap2AUF12: autoNegative (Fe:fsp2AUFFB12);;dap2TUM1: turnTake;dap2TIM0: stalling;;;;;;;
fsp2TSKCV12;p2;p1;;; yeah thats right ;dap2TSK12: agreement (Fu:dap1TSK17);;;;;;;;;;;
fsp2TSKCV13;p2;p1;;; uh-huh ;dap2TSK13: agreement (Fu:dap1TSK17) {restatement dap2TSK12};;;;;;;;;;;
"fsp1AUFCV5;fsp1ALFCV6";p1;p2;;right ; right ;;dap1AUF5: autoPositive (Fe:fsp1AUFFB5);dap1ALF6: alloPositive (Fe:fsp1ALFFB6);;;;;;;;;
fsp2TSKCV14;p2;p1;;right okay ; right okay ;dap2TSK14: acceptRequest (Fu:dap1TSK16);;;;;;;;;;;
fsp1TSKCV18;p1;p2;;'til you get to just underneath pine forest ; til you get to just underneath pine forest ;dap1TSK18: instruct {elaboration dap1TSK16};;;;;;;;;;;
fsp2TSKCV15;p2;p1;;right ; right ;dap2TSK15: acceptRequest (Fu:dap1TSK18);;;;;;;;;;;
fsp1TSKCV19;p1;p2;;and then start going south ; and then start going south ;dap1TSK19: instruct {asynchrony dap1TSK18};;;;;;;;;;;
fsp2TSKCV16;p2;p1;;okay ; okay ;dap2TSK16: acceptRequest (Fu:dap1TSK19);;;;;;;;;;;
fsp1TSKCV20;p1;p2;;and then go east again and you loop round about a bakery ; and then go east again ;dap1TSK20: instruct {asynchrony dap1TSK19};;;;;;;;;;;
"fsp1TUMCV5;fsp1TIMCV1";p1;p2;;; and ;;;;dap1TUM5: turnKeep;dap1TIM1: stalling;;;;;;;
fsp1TSKCV21;p1;p2;;; you loop round about a bakery ;dap1TSK21: instruct;;;;;;;;;;;
fsp2TSKCV17;p2;p1;;yeah ; yeah ;dap2TSK17: acceptRequest (Fu:dap1TSK21);;;;;;;;;;;
"fsp1AUFCV6;fsp1ALFCV7";p1;p2;;right ; right ;;dap1AUF6: autoPositive (Fe:fsp1AUFFB6);dap1ALF7: alloPositive (Fe:fsp1ALFFB7);;;;;;;;;
fsp2TSKCV18;p2;p1;;i'm going east underneath the bakery ; im going east underneath the bakery ;dap2TSK18: checkQuestion;;;;;;;;;;;
fsp1TSKCV22;p1;p2;;underneath the bakery ; underneath the bakery ;dap1TSK22: confirm (Fu:dap2TSK18);;;;;;;;;;;
fsp2AUFCV13;p2;p1;;right ; right ;;dap2AUF13: autoPositive (Fe:fsp2AUFFB13);;;;;;;;;;
fsp1ALFCV8;p1;p2;;uh-huh right ; uh-huh right ;;;dap1ALF8: alloPositive (Fe:fsp1ALFFB8);;;;;;;;;
fsp2TSKCV19;p2;p1;;okay ; okay ;dap2TSK19: acceptRequest (Fu:dap1TSK21);;;;;;;;;;;
fsp1TSKCV23;p1;p2;;and coming back round towards the west ; and coming back round towards the west ;dap1TSK23: instruct;;;;;;;;;;;
