Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments
TRAINS1-fs1;S;U;;hello, can I help you;hello;;;;;;;;da1: opening;da2: initialGreeting;
TRAINS1-fs2;S;U;;;can I help you;;;;;;;;da3: offer;;
TRAINS1-fs3;U;S;;yeah I want t- I want to determine the maximum number of boxcars of oranges that I can get to Bath by seven a.m. tomorrow so VOC_breath hm .. So I guess all the boxcars will have to go through Corning because that's where the orange juice factory is VOC_breath orange factory so from Corning to Bath how far is that;yeah;;;;;;;;da4: acceptOffer (Fu: da3);;
TRAINS1-fs4;U;S;;;I want t-;da5: stalling;;;;;;;;;
TRAINS1-fs5;U;S;;;I want to determine the maximum number of boxcars of oranges that I can get to Bath by seven a.m. tomorrow;da6: inform;;;;;;;;;
TRAINS1-fs6;U;S;;;so;;;;da7: turnKeep;;;;;;
TRAINS1-fs7;U;S;;;VOC_breath hm ... so;;;;;da8: stalling;;;;;
TRAINS1-fs8;U;S;;;I guess all the boxcars will have to go through Corning;da9: inform [uncertain];;;;;;;;;
TRAINS1-fs9;U;S;;;because that's where the orange juice factory is;da10: inform {Cause: Reason da9};;;;;;;;;
TRAINS1-fs10;U;S;;;VOC_breath;;;;da11: turnKeep;da12: stalling;;;;;
TRAINS1-fs11;U;S;;;orange factory;;;;;;da13: selfCorrection (Fe: da10);;;;
TRAINS1-fs12;U;S;;;so;;;;da14: turnKeep;;;;;;
TRAINS1-fs13;U;S;;;from Corning to Bath how far is that;da15: setQuestion;;;da16: turnAssign;;;;;;
TRAINS1-fs14;S;U;;two hours;two hours;da17: answer (Fu: da15);;;;;;;;;
TRAINS1-fs15;U;S;;and it's gonna take us also an hour to load boxcars right;and it's gonna take us also an hour to load boxcars right;da18: checkQuestion;;;da19: turnAssign;;;;;;
TRAINS1-fs16;S;U;;right;right;da20: confirm (Fu: da18);;;;;;;;;
TRAINS1-fs17;U;S;;okay so ... hm so every trip will take at least three hours then .. Um;okay;;da21: autoPositive (Fe: da20);;da22: turnTake;;;;;;
TRAINS1-fs18;U;S;;;so;;;;da23: turnKeep;;;;;;
TRAINS1-fs19;U;S;;;... hm so;;;;;da24: stalling;;;;;
TRAINS1-fs20;U;S;;;every trip will take at least three hours then;da25: checkQuestion;;;;;;;;;
TRAINS1-fs21;U;S;;;... um;;;;da26: turnKeep;da27: stalling;;;;;
TRAINS1-fs22;S;U;;right we can unload any amount of cargo onto a train in one hour so we can do a maximum of three boxcars in one hour;right;da28: confirm (Fu: da25);;;;;;;;;
TRAINS1-fs23;S;U;;;we can unload any amount of cargo onto a train in one hour;da29: inform;;;;;;;;;
TRAINS1-fs24;S;U;;;so;;;;da30: turnKeep;;;;;;
TRAINS1-fs25;S;U;;;we can do a maximum of three boxcars in an hour;da31: inform {Cause: Result da 29};;;;;;;;;
TRAINS1-fs26;U;S;;right okay okay so I guess one thing we can do, oh VOC_breath so VOC_breath I guess one thing is that we should see how many boxcars we can actually get to Corning in four hours um how far is it from Avon to Bath to Corning;right;;da32: autoPositive (Fe: da31);;;;;;;;
TRAINS1-fs27;U;S;;;okay;;da33: autoPositive (Fe: da32);;;;;;;;
TRAINS1-fs28;U;S;;;okay;;da34: autoPositive (Fe: da32);;;;;;;;
TRAINS1-fs29;U;S;;;so;;;;da35: turnKeep;;;;;;
TRAINS1-fs30;U;S;;;I guess one thing we can do;da36: suggest;;;;;;;;;
TRAINS1-fs31;U;S;;;oh;;;;;;da37: selfError (Fe: da36);;;;
TRAINS1-fs32;U;S;;;VOC_breath so VOC_breath;;;;da38: turnKeep;da39: stalling;;;;;
TRAINS1-fs33;U;S;;;I guess one thing is that we should see how many boxcars we can actually get to Corning in four hours;da40: suggest;;;;;;;;;
TRAINS1-fs34;U;S;;;um;;;;da41: turnKeep;da42: stalling;;;;;
TRAINS1-fs35;U;S;;;how far is it from Avon to Bath;da43: setQuestion;;;;;;;;;
TRAINS1-fs36;U;S;;;to Corning;;;;;;da44: selfCorrection (Fe: da43);;;;
TRAINS1-fs37;S;U;;VOC_click VOC_breath that's six hours, it's shorter through Dansville;VOC_click VOC_breath;;da45: autoPositive (Fe: da44);;da46: turnTake;;;;;;
TRAINS1-fs38;S;U;;;that's six hours ;da47: answer (Fu: da43, da44);;;;;;;;;
TRAINS1-fs39;S;U;;;it's shorter through Dansville;da48: inform {Elab: Specific da47};;;;;;;;;
TRAINS1-fs40;U;S;;okay from Avon oh no but the thing is that I was thinking if we could actually pick up those two boxcars which are at Bath s- i was wondering;okay;;da49: autoPositive (Fe: da48);;;;;;;;
TRAINS1-fs41;U;S;;;from Avon;;da50: autoPositive (Fe: da48);;;;;;;;
TRAINS1-fs42;U;S;;;oh no;;;;;;da51: selfError (Fe: da50);;;;
