Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp1TUMCV0;fsp1CTMCV0";p1;p2;;alright alright hello again hello again ; alright ;;;;dap1TUM0: turnTake;;;;;;dap1CTM0:contactManagement:contactIndication;;
fsp1DISCV0;p1;p2;;; alright hello again ;;;;;;;;dap1DIS0: opening;;;;
fsp1SOMCV0;p1;p2;;; hello again ;;;;;;;;;dap1SOM0: initGreeting;;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening (Fu:dap1DIS0);dap2SOM0: returnGreeting (Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication;;
fsp1TSMCV0;p1;p2;;are you ready to continue ; are you ready to continue ;;;;;;;;;;dap1TSM0:taskManagement:propositionalQuestion;;
fsp2TSMCV0;p2;p1;;yes i am ; yes i am ;;;;;;;;;;dap2TSM0:taskManagement:propositionalAnswer (Fu:dap1TSM0);;
"fsp1AUFCV0;fsp1ALFCV0";p1;p2;;great uh do you remember all of the rules or do you have any questions ; great ;;dap1AUF0: autoPositive (Fe:fsp1AUFFB0);dap1ALF0: alloPositive (Fe:fsp1ALFFB0);;;;;;;;;
"fsp1TUMCV1;fsp1TIMCV0";p1;p2;;; uh ;;;;dap1TUM1: turnKeep;dap1TIM0: stalling;;;;;;;
fsp1TSMCV1;p1;p2;;; do you remember all of the rules or do you have any questions ;;;;;;;;;;dap1TSM1:taskManagement:choiceQuestion;;
"fsp2TUMCV0;fsp2TIMCV0";p2;p1;;uh yes and no to the other question ; uh ;;;;dap2TUM0: turnAccept;dap2TIM0: stalling;;;;;;;
fsp2TSMCV1;p2;p1;;; yes and no to the other question ;;;;;;;;;;dap2TSM1:taskManagement:setAnswer (Fu:dap1TSM1);;
"fsp1AUFCV1;fsp1ALFCV1";p1;p2;;okay so you know all of the rules ; okay ;;dap1AUF1: autoPositive (Fe:fsp1AUFFB1);dap1ALF1: alloPositive (Fe:fsp1ALFFB1);;;;;;;;;
fsp1AUFCV2;p1;p2;;; so you know all of the rules ;;dap1AUF2: checkQuestion (Fe:fsp1AUFFB2);;;;;;;;;;
fsp2ALFCV0;p2;p1;;yes i do ; yes i do ;;;dap2ALF0: confirm (Fu:dap1AUF2);;;;;;;;;
"fsp1AUFCV3;fsp1ALFCV2";p1;p2;;great alright let's go ahead and get started then what is your first question ; great ;;dap1AUF3: autoPositive (Fe:fsp1AUFFB3);dap1ALF2: alloPositive (Fe:fsp1ALFFB2);;;;;;;;;
fsp1TUMCV2;p1;p2;;; alright ;;;;dap1TUM2: turnKeep;;;;;;;;
fsp1TSMCV2;p1;p2;;; lets go ahead and get started then ;;;;;;;;;;dap1TSM2:taskManagement:suggest;;
"fsp1TSKCV0;fsp1TSMCV3";p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;dap1TSM3:taskManagement:request;;
"fsp2TUMCV1;fsp2TIMCV1";p2;p1;;uh what are you famous for ; uh ;;;;dap2TUM1: turnAccept;dap2TIM1: stalling;;;;;;;
"fsp2TSKCV0;fsp2TSMCV2";p2;p1;;; what are you famous for ;dap2TSK0: setQuestion (Fu:dap1TSK0);;;;;;;;;dap2TSM2:taskManagement:acceptRequest (Fu:dap1TSM3);;
