Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp1DISCV0;fsp1SOMCV0;fsp1CTMCV0";p1;p2;;hello again ; hello again ;;;;;;;;dap1DIS0: opening;dap1SOM0: initGreeting;dap1CTM0:contactManagement:contactIndication;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening(Fu:dap1DIS0);dap2SOM0: returnGreeting(Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication(Fu:dap1CTM0);;
fsp1TSMCV0;p1;p2;;let's start on the next round ; lets start on the next round ;;;;;;;;;;dap1TSM0:taskManagement:suggest;;
fsp2TSMCV0;p2;p1;;yeah ; yeah ;;;;;;;;;;dap2TSM0:taskManagement:acceptSuggest(Fu:dap1TSM0);;
fsp1TSMCV1;p1;p2;;so do you remember all of the rules ; so do you remember all of the rules ;;;;;;;;;;dap1TSM1:taskManagement:propositionalQuestion;;
fsp2TSMCV1;p2;p1;;yes i think so ; yes i think so ;;;;;;;;;;dap2TSM1:taskManagement:propositionalAnswer[uncertain](Fu:dap1TSM1);;
fsp1ALFCV0;p1;p2;;great alright so let's get started what is your first question ; great ;;;dap1ALF0: alloPositive(Fe:fsp1ALFFB0);;;;;;;;;
fsp1DISCV1;p1;p2;;; alright so ;;;;;;;;dap1DIS1: interactionStructuring;;;;
fsp1TSMCV2;p1;p2;;; lets get started ;;;;;;;;;;dap1TSM2:taskManagement:suggest;;
"fsp1TSKCV0;fsp1TSMCV3";p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;dap1TSM3:taskManagement:request;;
"fsp2AUFCV0;fsp2TUMCV0";p2;p1;;mh what are your initials ; mh ;;dap2AUF0: autoPositive(Fe:fsp2AUFFB0);;dap2TUM0: turnAccept;;;;;;;;
"fsp2TSKCV0;fsp2TSMCV2";p2;p1;;; what are your initials ;dap2TSK0: setQuestion;;;;;;;;;dap2TSM2:taskManagement:acceptRequest(Fu:dap1TSM3);;
fsp1AUFCV0;p1;p2;;i can not answer that question ; i can not answer that question ;;dap1AUF0: inform(Fe:fsp1AUFFB0);;;;;;;;;;
fsp2AUFCV1;p2;p1;;okay are you a real person ; okay ;;dap2AUF1: autoPositive(Fe:fsp2AUFFB1);;;;;;;;;;
fsp2TSKCV1;p2;p1;;; are you a real person ;dap2TSK1: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV1;p1;p2;;yes i am a real person ; yes i am a real person ;dap1TSK1: propositionalAnswer(Fu:dap2TSK1);;;;;;;;;;;
"fsp2TUMCV1;fsp2TIMCV0";p2;p1;;uhm are you dead ; uhm ;;;;dap2TUM1: turnTake;dap2TIM0: stalling;;;;;;;
fsp2TSKCV2;p2;p1;;; are you dead ;dap2TSK2: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV2;p1;p2;;no i am still alive ; no i am still alive ;dap1TSK2: propositionalAnswer(Fu:dap2TSK2);;;;;;;;;;;
"fsp2AUFCV2;fsp2TUMCV2;fsp2TIMCV1";p2;p1;;mh where are you from ; mh ;;dap2AUF2: autoPositive(Fe:fsp2AUFFB2);;dap2TUM2: turnTake;dap2TIM1: stalling;;;;;;;
fsp2TSKCV3;p2;p1;;; where are you from ;dap2TSK3: setQuestion;;;;;;;;;;;
fsp1TSKCV3;p1;p2;;i am from barbados ; i am from barbados ;dap1TSK3: setAnswer(Fu:dap2TSK3);;;;;;;;;;;
"fsp2AUFCV3;fsp2TUMCV3;fsp2TIMCV2";p2;p1;;mh are you a musician ; mh ;;dap2AUF3: autoPositive(Fe:fsp2AUFFB3);;dap2TUM3: turnTake;dap2TIM2: stalling;;;;;;;
fsp2TSKCV4;p2;p1;;; are you a musician ;dap2TSK4: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV4;p1;p2;;yes i am a musician ; yes i am a musician ;dap1TSK4: propositionalAnswer(Fu:dap2TSK4);;;;;;;;;;;
"fsp2AUFCV4;fsp2TUMCV4;fsp2TIMCV3";p2;p1;;mh are you rihanna ; mh ;;dap2AUF4: autoPositive(Fe:fsp2AUFFB4);;dap2TUM4: turnTake;dap2TIM3: stalling;;;;;;;
fsp2TSKCV5;p2;p1;;; are you rihanna ;dap2TSK5: guess;;;;;;;;;;;
fsp1TSKCV5;p1;p2;;yes that is correct i am rihanna very good job ; yes that is correct i am rihanna ;dap1TSK5: confirm(Fu:dap2TSK5);;;;;;;;;;;
"fsp1ALFCV1;fsp1DISCV2;fsp1SOMCV1";p1;p2;;; very good job ;;;dap1ALF1: alloPositive(Fe:fsp1ALFFB1);;;;;dap1DIS2: closing;dap1SOM1: congratulation;;;
