Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp1DISCV0;fsp1SOMCV0;fsp1CTMCV0";p1;p2;;hello again ; hello again ;;;;;;;;dap1DIS0: opening;dap1SOM0: initGreeting;dap1CTM0:contactManagement:contactIndication;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening (Fu:dap1DIS0);dap2SOM0: returnGreeting (Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication;;
fsp1DISCV1;p1;p2;;ready to start with the next round ; ready to start with the next round ;;;;;;;;dap1DIS1: checkQuestion;;;;
fsp2DISCV1;p2;p1;;mhm ; mhm ;;;;;;;;dap2DIS1: confirm (Fu:dap1DIS1);;;;
"fsp1AUFCV0;fsp1ALFCV0";p1;p2;;alright do you still remember all of the rules ; alright ;;dap1AUF0: autoPositive (Fe:fsp1AUFFB0);dap1ALF0: alloPositive (Fe:fsp1ALFFB0);;;;;;;;;
fsp1TSMCV0;p1;p2;;; do you still remember all of the rules ;;;;;;;;;;dap1TSM0:taskManagement:propositionalQuestion;;
fsp2TSMCV0;p2;p1;;yes ; yes ;;;;;;;;;;dap2TSM0:taskManagement:propositionalAnswer (Fu:dap1TSM0);;
"fsp1AUFCV1;fsp1ALFCV1";p1;p2;;great alright uhm let's get started then what is your first question ; great ;;dap1AUF1: autoPositive (Fe:fsp1AUFFB1);dap1ALF1: alloPositive (Fe:fsp1ALFFB1);;;;;;;;;
fsp1DISCV2;p1;p2;;; alright ;;;;;;;;dap1DIS2: interactionStructuring;;;;
"fsp1TUMCV0;fsp1TIMCV0";p1;p2;;; uhm ;;;;dap1TUM0: turnKeep;dap1TIM0: stalling;;;;;;;
fsp1DISCV3;p1;p2;;; lets get started then ;;;;;;;;dap1DIS3: suggest;;;;
"fsp1TSKCV0;fsp1TSMCV1";p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;dap1TSM1:taskManagement:request;;
"fsp2TUMCV0;fsp2TIMCV0";p2;p1;;uh uhm uhm what is your mother tongue uh uh ; uh ;;;;dap2TUM0: turnAccept;dap2TIM0: stalling;;;;;;;
"fsp2TUMCV1;fsp2TIMCV1";p2;p1;;; uhm ;;;;dap2TUM1: turnKeep;dap2TIM1: stalling;;;;;;;
"fsp2TUMCV2;fsp2TIMCV2";p2;p1;;; uhm ;;;;dap2TUM2: turnKeep;dap2TIM2: stalling;;;;;;;
"fsp2TSKCV0;fsp2TSMCV1";p2;p1;;; what is your mother tongue ;dap2TSK0: setQuestion;;;;;;;;;dap2TSM1:taskManagement:addressRequest (Fu:dap1TSM1);;
"fsp2TUMCV3;fsp2TIMCV3";p2;p1;;; uh ;;;;dap2TUM3: turnKeep;dap2TIM3: stalling;;;;;;;
"fsp2TUMCV4;fsp2TIMCV4";p2;p1;;; uh ;;;;dap2TUM4: turnKeep;dap2TIM4: stalling;;;;;;;
fsp1TSKCV1;p1;p2;;my mother tongue is english ; my mother tongue is english ;dap1TSK1: setAnswer (Fu:dap2TSK0);;;;;;;;;;;
