Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp1TUMCV0;fsp1DISCV0";p1;p2;;okay now you're starting above the diamond mine ehm ; okay ;;;;dap1TUM0: turnTake;;;;dap1DIS0: opening;;;;
fsp1TSKCV0;p1;p2;;; now youre starting above the diamond mine ;dap1TSK0: instruct;;;;;;;;;;;
"fsp1TUMCV1;fsp1TIMCV0";p1;p2;;; ehm ;;;;dap1TUM1: turnKeep;dap1TIM0: stalling;;;;;;;
fsp2TSKCV0;p2;p1;;mmhmm ; mmhmm ;dap2TSK0: acceptRequest (Fu:dap1TSK0);;;;;;;;;;;
fsp1TSKCV1;p1;p2;;and the desert is below to your left er ; and the desert is below to your left ;dap1TSK1: checkQuestion;;;;;;;;;;;
"fsp1TUMCV2;fsp1TIMCV1";p1;p2;;; er ;;;;dap1TUM2: turnKeep;dap1TIM1: stalling;;;;;;;
fsp2TSKCV1;p2;p1;;uh-huh ; uh-huh ;dap2TSK1: confirm (Fu:dap1TSK1);;;;;;;;;;;
"fsp1AUFCV0;fsp1TUMCV3";p1;p2;;right now go south from the diamond mine go until you are still above the desert okay ; right ;;dap1AUF0: autoPositive (Fe:fsp1AUFFB0);;dap1TUM3: turnTake;;;;;;;;
fsp1TSKCV2;p1;p2;;; now go south from the diamond mine ;dap1TSK2: instruct;;;;;;;;;;;
fsp1OCMCV0;p1;p2;;; go ;;;;;;dap1OCM0: selfCorrection (Fe:fsp1OCMFB0);;;;;;
fsp1TSKCV3;p1;p2;;; until you are still above the desert ;dap1TSK3: instruct {elaboration dap1TSK2};;;;;;;;;;;
fsp1ALFCV0;p1;p2;;; okay ;;;dap1ALF0: feedbackElicitation (Fe:fsp1ALFFB0);;;;;;;;;
fsp2AUFCV0;p2;p1;;okay ; okay ;;dap2AUF0: autoPositive (Fu:dap1ALF0);;;;;;;;;;
fsp1TSKCV4;p1;p2;;now if you tell me what's to your right at the what's to your right ; now if you tell me whats to your right ;dap1TSK4: request;;;;;;;;;;;
fsp1TSKCV5;p1;p2;;; at the ;dap1TSK5: request {elaboration dap1TSK4};;;;;;;;;;;
fsp1TSKCV6;p1;p2;;; whats to your right ;dap1TSK6: setQuestion {restatement dap1TSK4};;;;;;;;;;;
"fsp2TUMCV0;fsp2TIMCV0";p2;p1;;ehm the canoes ; ehm ;;;;dap2TUM0: turnAccept;dap2TIM0: stalling;;;;;;;
fsp2TSKCV2;p2;p1;;; the canoes ;dap2TSK2: answer (Fu:dap1TSK6);;;;;;;;;;;
fsp1AUFCV1;p1;p2;;canoes ; canoes ;;dap1AUF1: autoPositive (Fe:fsp1AUFFB1);;;;;;;;;;
fsp2TSKCV3;p2;p1;;fast running creek ; fast running creek ;dap2TSK3: answer (Fu:dap1TSK6) {list dap2TSK2};;;;;;;;;;;
fsp1AUFCV2;p1;p2;;fast running creek um and do you have a graveyard ; fast running creek ;;dap1AUF2: autoPositive (Fe:fsp1AUFFB2);;;;;;;;;;
"fsp1TUMCV4;fsp1TIMCV2";p1;p2;;; um ;;;;dap1TUM4: turnKeep;dap1TIM2: stalling;;;;;;;
fsp1TSKCV7;p1;p2;;; and do you have a graveyard ;dap1TSK7: propositionalQuestion;;;;;;;;;;;
fsp2TSKCV4;p2;p1;;no ; no ;dap2TSK4: answer (Fu:dap1TSK7);;;;;;;;;;;
fsp1TSKCV8;p1;p2;;do you have a carved wooden pole in this area ; do you have a carved wooden pole in this area ;dap1TSK8: propositionalQuestion;;;;;;;;;;;
fsp2TSKCV5;p2;p1;;right away down the very bottom ; right away down the very bottom ;dap2TSK5: answer (Fu:dap1TSK8);;;;;;;;;;;
fsp1AUFCV3;p1;p2;;right okay now go right from the diamond mine go ; right okay ;;dap1AUF3: autoPositive (Fe:fsp1AUFFB3);;;;;;;;;;
fsp1TSKCV9;p1;p2;;; now go right from the diamond mine ;dap1TSK9: instruct;;;;;;;;;;;
fsp1OCMCV1;p1;p2;;; go ;;;;;;dap1OCM1: selfCorrection (Fe:fsp1OCMFB1);;;;;;
fsp2TSKCV6;p2;p1;;okay ; okay ;dap2TSK6: acceptRequest (Fu:dap1TSK9);;;;;;;;;;;
"fsp1AUFCV4;fsp1TUMCV5";p1;p2;;okay and now you've got to pass there's actually a graveyard to the right of the diamond mine on my map ; okay ;;dap1AUF4: autoPositive (Fe:fsp1AUFFB4);;dap1TUM5: turnTake;;;;;;;;
fsp1TSKCV10;p1;p2;;; and now youve got to pass ;dap1TSK10: instruct;;;;;;;;;;;
fsp1TSKCV11;p1;p2;;; theres actually a graveyard to the right of the diamond mine ;dap1TSK11: inform;;;;;;;;;;;
fsp1TSKCV12;p1;p2;;; on my map ;dap1TSK12: inform {elaboration dap1TSK11};;;;;;;;;;;
fsp2TSKCV7;p2;p1;;below it ; below it ;dap2TSK7: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV13;p1;p2;;no on the same level as the diamond mine ; no ;dap1TSK13: answer (Fu:dap2TSK7);;;;;;;;;;;
fsp1TSKCV14;p1;p2;;; on the same level as the diamond mine ;dap1TSK14: inform {elaboration dap1TSK13};;;;;;;;;;;
fsp2TSKCV8;p2;p1;;mm ; mm ;dap2TSK8: agreement (Fu:dap1TSK13);;;;;;;;;;;
fsp1TSKCV15;p1;p2;;and so you're pass by the graveyard as well you're _ pass ; and so youre pass by the graveyard as well ;dap1TSK15: instruct;;;;;;;;;;;
fsp1OCMCV2;p1;p2;;; youre _ pass ;;;;;;dap1OCM2: selfCorrection (Fe:fsp1OCMFB2);;;;;;
fsp2TSKCV9;p2;p1;;mm ; mm ;dap2TSK9: acceptRequest (Fu:dap1TSK15);;;;;;;;;;;
fsp1TSKCV16;p1;p2;;and then you're go up and over the top of the uh i've got is a fast flowing river ; and then youre go up and over the top of the ;dap1TSK16: instruct;;;;;;;;;;;
"fsp1TUMCV6;fsp1TIMCV3";p1;p2;;; uh ;;;;dap1TUM6: turnKeep;dap1TIM3: stalling;;;;;;;
fsp1TSKCV17;p1;p2;;; ive got is a fast flowing river ;dap1TSK17: inform;;;;;;;;;;;
fsp2AUFCV1;p2;p1;;mmhmm ; mmhmm ;;dap2AUF1: autoPositive (Fe:fsp2AUFFB1);;;;;;;;;;
fsp1TSKCV18;p1;p2;;do you have you have fast running creek ; do you have ;dap1TSK18: propositionalQuestion;;;;;;;;;;;
fsp1AUFCV5;p1;p2;;; you have fast running creek ;;dap1AUF5: autoPositive (Fe:fsp1AUFFB5);;;;;;;;;;
fsp2TSKCV10;p2;p1;;fast running creek ; fast running creek ;dap2TSK10: answer (Fu:dap1TSK18);;;;;;;;;;;
fsp1TSKCV19;p1;p2;;where is that on a level with the diamond mine or is it _ slightly below ; where is that ;dap1TSK19: setQuestion;;;;;;;;;;;
fsp1TSKCV20;p1;p2;;; on a level with the diamond mine or is it _ slightly below ;dap1TSK20: choiceQuestion {elaboration dap1TSK19};;;;;;;;;;;
fsp2TSKCV11;p2;p1;;it's just slightly above ; its just slightly above ;dap2TSK11: answer (Fu:dap1TSK19);;;;;;;;;;;
fsp1AUFCV6;p1;p2;;slightly above right well i've got a fast flowing river here so what you'd best to do is go along past the bottom go along okay sorry go along to your right and veer slightly upwards as you reach the creek ; slightly above ;;dap1AUF6: autoPositive (Fe:fsp1AUFFB6);;;;;;;;;;
"fsp1AUFCV7;fsp1TUMCV7";p1;p2;;; right ;;dap1AUF7: autoPositive (Fe:fsp1AUFFB7);;dap1TUM7: turnTake;;;;;;;;
fsp1TSKCV21;p1;p2;;; well ive got a fast flowing river here ;dap1TSK21: inform;;;;;;;;;;;
fsp1TSKCV22;p1;p2;;; so what youd best to do is go along past the bottom ;dap1TSK22: suggest;;;;;;;;;;;
fsp1TSKCV23;p1;p2;;; go along ;dap1TSK23: instruct;;;;;;;;;;;
fsp1ALFCV1;p1;p2;;; okay ;;;dap1ALF1: feedbackElicitation (Fe:fsp1ALFFB1);;;;;;;;;
fsp1SOMCV0;p1;p2;;; sorry ;;;;;;;;;dap1SOM0: apology;;;
fsp1TSKCV24;p1;p2;;; go along to your right and veer slightly upwards ;dap1TSK24: instruct;;;;;;;;;;;
fsp1TSKCV25;p1;p2;;; as you reach the creek ;dap1TSK25: instruct {elaboration dap1TSK24};;;;;;;;;;;
fsp2TSKCV12;p2;p1;;mmhmm ; mmhmm ;dap2TSK12: acceptRequest (Fu:dap1TSK24);;;;;;;;;;;
fsp1TSKCV26;p1;p2;;and then go over and round the creek to your right and then ehm do you have an apache camp ; and then go over and round the creek to your right ;dap1TSK26: instruct;;;;;;;;;;;
fsp1TSKCV27;p1;p2;;; and then ;dap1TSK27: instruct;;;;;;;;;;;
"fsp1TUMCV8;fsp1TIMCV4";p1;p2;;; ehm ;;;;dap1TUM8: turnKeep;dap1TIM4: stalling;;;;;;;
fsp1TSKCV28;p1;p2;;; do you have an apache camp ;dap1TSK28: propositionalQuestion;;;;;;;;;;;
fsp2TSKCV13;p2;p1;;uh-huh ; uh-huh ;dap2TSK13: answer (Fu:dap1TSK28);;;;;;;;;;;
"fsp1AUFCV8;fsp1TUMCV9";p1;p2;;right see when you're over the top of the fast or your creek or the river that i've got here ; right ;;dap1AUF8: autoPositive (Fe:fsp1AUFFB8);;dap1TUM9: turnTake;;;;;;;;
fsp1TSKCV29;p1;p2;;; see when youre over the top of the fast or your creek or the river that ive got here ;dap1TSK29: instruct;;;;;;;;;;;
fsp2AUFCV2;p2;p1;;mmhmm ; mmhmm ;;dap2AUF2: autoPositive (Fe:fsp2AUFFB2);;;;;;;;;;
fsp1TSKCV30;p1;p2;;when you're over the top of that and vertically in line with the apache camp go south vertically in line ; when youre over the top of that and vertically in line with the apache camp go south ;dap1TSK30: instruct;;;;;;;;;;;
fsp1OCMCV3;p1;p2;;; vertically in line ;;;;;;dap1OCM3: selfCorrection (Fe:fsp1OCMFB3);;;;;;
fsp2AUFCV3;p2;p1;;mmhmm ; mmhmm ;;dap2AUF3: autoPositive (Fe:fsp2AUFFB3);;;;;;;;;;
fsp1TSKCV31;p1;p2;;until just above the apache camp ; until just above the apache camp ;dap1TSK31: instruct {elaboration dap1TSK30};;;;;;;;;;;
fsp2TSKCV14;p2;p1;;okay ; okay ;dap2TSK14: acceptRequest (Fu:dap1TSK30);;;;;;;;;;;
"fsp1AUFCV9;fsp1TUMCV10";p1;p2;;right when you reach the apache camp ehm do you have a walled city ; right ;;dap1AUF9: autoPositive (Fe:fsp1AUFFB9);;dap1TUM10: turnTake;;;;;;;;
fsp1TSKCV32;p1;p2;;; when you reach the apache camp ;dap1TSK32: instruct;;;;;;;;;;;
"fsp1TUMCV11;fsp1TIMCV5";p1;p2;;; ehm ;;;;dap1TUM11: turnKeep;dap1TIM5: stalling;;;;;;;
fsp1TSKCV33;p1;p2;;; do you have a walled city ;dap1TSK33: propositionalQuestion;;;;;;;;;;;
fsp2TSKCV15;p2;p1;;right away on the far left ; right away on the far left ;dap2TSK15: answer (Fu:dap1TSK33);;;;;;;;;;;
fsp1AUFCV10;p1;p2;;right well you're going to go from above the apache camp to the walled city but you've got to avoid a carved wooden pole which in my map is slightly above the level of the apache camp ; right ;;dap1AUF10: autoPositive (Fe:fsp1AUFFB10);;;;;;;;;;
fsp1TSKCV34;p1;p2;;; well youre going to go from above the apache camp to the walled city ;dap1TSK34: instruct;;;;;;;;;;;
fsp1TSKCV35;p1;p2;;; but youve got to avoid a carved wooden pole ;dap1TSK35: instruct {contrast dap1TSK34};;;;;;;;;;;
fsp1TSKCV36;p1;p2;;; which in my map is slightly above the level of the apache camp ;dap1TSK36: inform {elaboration dap1TSK35};;;;;;;;;;;
fsp2TSKCV16;p2;p1;;no this is vertically in line with the walled city below it ; no ;dap2TSK16: correction (Fu:dap1TSK36);;;;;;;;;;;
fsp2TSKCV17;p2;p1;;; this is vertically in line with the walled city below it ;dap2TSK17: inform {elaboration dap2TSK16};;;;;;;;;;;
fsp1AUFCV11;p1;p2;;right ; right ;;dap1AUF11: autoPositive (Fe:fsp1AUFFB11);;;;;;;;;;
fsp2TSKCV18;p2;p1;;okay so ; okay so ;dap2TSK18: setQuestion;;;;;;;;;;;
fsp1AUFCV12;p1;p2;;right i've got one of them as well ; right ;;dap1AUF12: autoPositive (Fe:fsp1AUFFB12);;;;;;;;;;
fsp1TSKCV37;p1;p2;;; ive got one of them as well ;dap1TSK37: inform {elaboration dap1AUF12};;;;;;;;;;;
fsp2AUFCV4;p2;p1;;right ; right ;;dap2AUF4: autoPositive (Fe:fsp2AUFFB4);;;;;;;;;;
fsp1TUMCV12;p1;p2;;so but there's another one a carved wooden pole here which is halfway between the walled city and the apache camp okay ; so ;;;;dap1TUM12: turnTake;;;;;;;;
fsp1TSKCV38;p1;p2;;; but theres another one a carved wooden pole here ;dap1TSK38: inform {contrast dap1TSK37};;;;;;;;;;;
fsp1TSKCV39;p1;p2;;; which is halfway between the walled city and the apache camp ;dap1TSK39: inform {elaboration dap1TSK38};;;;;;;;;;;
fsp1ALFCV2;p1;p2;;; okay ;;;dap1ALF2: feedbackElicitation (Fe:fsp1ALFFB2);;;;;;;;;
fsp2AUFCV5;p2;p1;;mmhmm ; mmhmm ;;dap2AUF5: autoPositive (Fu:dap1ALF2);;;;;;;;;;
fsp1TSKCV40;p1;p2;;but slightly above the level of the apache camp ; but slightly above the level of the apache camp ;dap1TSK40: inform {contrast dap1TSK39};;;;;;;;;;;
fsp2TSKCV19;p2;p1;;so i'd be better to go underneath it right ; so id be better to go underneath it right ;dap2TSK19: checkQuestion;;;;;;;;;;;
"fsp1AUFCV13;fsp1TUMCV13";p1;p2;;okay uh-huh so you've got so you're going from above the apache camp the carved wooden pole and over the top of the walled city and then when you reach the far your left-hand side of the walled city travel southwards until you come to the level of some flat rocks ; okay ;;dap1AUF13: autoPositive (Fe:fsp1AUFFB13);;dap1TUM13: turnRelease;;;;;;;;
fsp1TSKCV41;p1;p2;;; uh-huh ;dap1TSK41: confirm (Fu:dap2TSK19);;;;;;;;;;;
"fsp1TSKCV42;fsp1TUMCV14";p1;p2;;; so youve got ;dap1TSK42: instruct;;;dap1TUM14: turnGrab;;;;;;;;
fsp1TSKCV43;p1;p2;;; so youre going from above the apache camp the carved wooden pole and over the top of the walled city ;dap1TSK43: instruct;;;;;;;;;;;
fsp1TSKCV44;p1;p2;;; and then when you reach the far your left-hand side of the walled city travel southwards ;dap1TSK44: instruct;;;;;;;;;;;
fsp1TSKCV45;p1;p2;;; until you come to the level of some flat rocks ;dap1TSK45: instruct {elaboration dap1TSK44};;;;;;;;;;;
fsp2TSKCV20;p2;p1;;uh-huh ; uh-huh ;dap2TSK20: acceptRequest (Fu:dap1TSK44);;;;;;;;;;;
fsp1TSKCV46;p1;p2;;and go bel-- do you have a stone creek ; and go bel-- ;dap1TSK46: instruct;;;;;;;;;;;
fsp1TSKCV47;p1;p2;;; do you have a stone creek ;dap1TSK47: propositionalQuestion;;;;;;;;;;;
fsp2TSKCV21;p2;p1;;uh-huh ; uh-huh ;dap2TSK21: answer (Fu:dap1TSK47);;;;;;;;;;;
fsp1AUFCV14;p1;p2;;right so what i want you to do is go between the flat rocks and stone creek but do you have anything between the walled city and the carved wooden pole ; right ;;dap1AUF14: autoPositive (Fe:fsp1AUFFB14);;;;;;;;;;
fsp1TSKCV48;p1;p2;;; so what i want you to do is go between the flat rocks and stone creek ;dap1TSK48: instruct;;;;;;;;;;;
fsp1TSKCV49;p1;p2;;; but ;dap1TSK49: instruct {contrast dap1TSK48};;;;;;;;;;;
fsp1TSKCV50;p1;p2;;; do you have anything between the walled city and the carved wooden pole ;dap1TSK50: setQuestion;;;;;;;;;;;
fsp2TSKCV22;p2;p1;;ghost town ; ghost town ;dap2TSK22: answer (Fu:dap1TSK50);;;;;;;;;;;
fsp1AUFCV15;p1;p2;;a ghost town so you're going to that's not on my map you've got to avoid that i think ; a ghost town ;;dap1AUF15: autoPositive (Fe:fsp1AUFFB15);;;;;;;;;;
fsp1TSKCV51;p1;p2;;; so youre going to ;dap1TSK51: instruct;;;;;;;;;;;
fsp1TSKCV52;p1;p2;;; thats not on my map ;dap1TSK52: inform {elaboration dap1AUF15};;;;;;;;;;;
fsp1TSKCV53;p1;p2;;; youve got to avoid that i think ;dap1TSK53: instruct [uncertain];;;;;;;;;;;
fsp2TSKCV23;p2;p1;;okay ; okay ;dap2TSK23: acceptRequest (Fu:dap1TSK53);;;;;;;;;;;
fsp1TSKCV54;p1;p2;;so go south down past the walled city underneath your ghost town and then slightly up sort of northeast direction between the flat rocks and the stone creek ; so go south down past the walled city underneath your ghost town ;dap1TSK54: instruct;;;;;;;;;;;
fsp1TSKCV55;p1;p2;;; and then slightly up ;dap1TSK55: instruct;;;;;;;;;;;
fsp1TSKCV56;p1;p2;;; sort of northeast direction between the flat rocks and the stone creek ;dap1TSK56: instruct {elaboration dap1TSK55};;;;;;;;;;;
fsp2TUMCV1;p2;p1;;between well it'd be better if i between the walled city and the ghost town no to go underneath it above it or have you got something else there ; between ;;;;dap2TUM1: turnGrab;;;;;;;;
fsp2TSKCV24;p2;p1;;; well itd be better if i between the walled city and the ghost town no to go underneath it ;dap2TSK24: suggest;;;;;;;;;;;
fsp2TSKCV25;p2;p1;;; above it ;dap2TSK25: suggest {restatement dap2TSK24};;;;;;;;;;;
fsp2TSKCV26;p2;p1;;; or have you got something else there ;dap2TSK26: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV57;p1;p2;;i've not got anything between the carved wooden pole and the walled city but the map shows a c-shaped curve a c-shaped curve ; ive not got anything between the carved wooden pole and the walled city ;dap1TSK57: answer (Fu:dap2TSK26);;;;;;;;;;;
fsp1TSKCV58;p1;p2;;; but the map shows a c-shaped curve ;dap1TSK58: declineSuggest (Fu:dap2TSK24) {contrast dap1TSK57};;;;;;;;;;;
fsp1OCMCV4;p1;p2;;; a c-shaped curve ;;;;;;dap1OCM4: selfCorrection (Fe:fsp1OCMFB4);;;;;;
fsp2TSKCV27;p2;p1;;right score that out ; right ;dap2TSK27: agreement (Fu:dap1TSK58);;;;;;;;;;;
fsp2TSKCV28;p2;p1;;; score that out ;dap2TSK28: agreement {motivate dap2TSK27};;;;;;;;;;;
fsp1TSKCV59;p1;p2;;right ; right ;dap1TSK59: agreement (Fu:dap2TSK28);;;;;;;;;;;
fsp2AUFCV6;p2;p1;;right ; right ;;dap2AUF6: autoPositive (Fe:fsp2AUFFB6);;;;;;;;;;
fsp1TSKCV60;p1;p2;;and sort of and then slightly up underneath the flat rocks and above the stone creek ; and sort of ;dap1TSK60: NA;;;;;;;;;;;
fsp1TSKCV61;p1;p2;;; and then slightly up underneath the flat rocks and above the stone creek ;dap1TSK61: instruct;;;;;;;;;;;
fsp2TSKCV29;p2;p1;;right ; right ;dap2TSK29: acceptRequest (Fu:dap1TSK61);;;;;;;;;;;
"fsp1AUFCV16;fsp1TUMCV15";p1;p2;;okay then go slightly to your right beyond the flat rocks until you are above the level of the buffalo ; okay ;;dap1AUF16: autoPositive (Fe:fsp1AUFFB16);;dap1TUM15: turnTake;;;;;;;;
fsp1TSKCV62;p1;p2;;; then go slightly to your right beyond the flat rocks ;dap1TSK62: instruct;;;;;;;;;;;
fsp1TSKCV63;p1;p2;;; until you are above the level of the buffalo ;dap1TSK63: instruct {elaboration dap1TSK62};;;;;;;;;;;
fsp2TSKCV30;p2;p1;;so i'll be avoiding the saloon bar i'll ; so ill be avoiding the saloon bar ;dap2TSK30: checkQuestion;;;;;;;;;;;
fsp2OCMCV0;p2;p1;;; ill ;;;;;;dap2OCM0: selfCorrection (Fe:fsp2OCMFB0);;;;;;
"fsp1TSKCV64;fsp1AUFCV17";p1;p2;;i don't have a saloon bar here ; i dont have a saloon bar here ;dap1TSK64: inform (Fu:dap2TSK30);dap1AUF17: autoNegative (Fe:fsp1AUFFB17);;;;;;;;;;
fsp2TSKCV31;p2;p1;;i've got here ; ive got here ;dap2TSK31: inform {contrast dap1TSK64};;;;;;;;;;;
