Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments;
sw03-0304-fs1;A;B;;Tell me what you like to do. /;Tell me what you like to do. /;da1: request;;;;;;;;;;
sw03-0304-fs2;B;A;;{D Well, } <laughter> [ I, + I ]  collect antique tools, {F uh, } for one thing, [ I + {D well, } I'm ] sort of in an antique business,  /;Well;;;;da2: turnTake;da3: stalling;;;;;;
sw03-0304-fs3;B;A;;;<laughter> I, I;;;;;da4: stalling;;;;;;
sw03-0304-fs4;B;A;;;I  collect antique tools;da5: answer (Fu: da1);;;;;;;;;;
sw03-0304-fs5;B;A;;;uh;;;;;da6: stalling;;;;;;
sw03-0304-fs6;B;A;;;for one thing;;;;;;;;da7: interactionStructuring;;;
sw03-0304-fs7;B;A;;;I, I'm ;;;;;da8: stalling;da9: selfCorrection;;;;;
sw03-0304-fs8;B;A;;;well;;;;;da10: stalling;;;;;;
sw03-0304-fs9;B;A;;;I'm sort of in an antique business;da11: inform {Elaboration da5};;;;;;;;;;
sw03-0304-fs10;B;A;;{C but } it's a little --;but it's a little part time thing;da12: inform {Concession da11};;;;;;;;;;
sw03-0304-fs11;A;B;;Oh;Oh;;da13: autoPositive (Fe: da12);;;;;;;;;
sw03-0304-fs12;B;A;; -- [ sideline, + part time ] thing./ ;sideline,  part time;;;;;;da14: selfCorrection;;;;;
sw03-0304-fs13;A;B;;Uh-huh, /;Uh-huh;;da15: autoPositive (Fe: da14);;;;;;;;;
sw03-0304-fs14;A;B;;wonderful. /;wonderful;;da16: autoPositive (Fe: da11);;;;;;;;;
sw03-0304-fs15;B;A;; {C And, }  {F uh, } I'm building [ a, + a ] log house at a  farm that I have in East Texas, which is --;and;;;;da17: turnKeep;;;;;;;
sw03-0304-fs16;B;A;; -- a hundred miles from here. /;uh;;;;;da18: stalling;;;;;;
sw03-0304-fs17;B;A;;; I'm building a log house at a  farm that I have in East Texas, which is a hundred miles from here;da19: inform {Expansion da11};;;;;;;;;;
sw03-0304-fs18;B;A;;;a, a;;;;;da20: stalling;;;;;;
sw03-0304-fs19;A;B;;Oh./;Oh;;da21: autoPositive (Fe: da18);;;;;;;;;
sw03-0304-fs20;A;B;;Wonderful. /;Wonderful;;da22: autoPositive (Fe: da18);;;;;;;;;
sw03-0304-fs21;B;A;; Yeah,  /;Yeah;;da23: autoPositive (Fe: da22);;;;;;;;;
sw03-0304-fs22;B;A;;it's really neat.  /;it's really neat;da24: inform {Evaluation da18};;;;;;;;;;
sw03-0304-fs23;B;A;;{C And, }  {F uh, }  {F uh, } course I've been working on it for five years,  /;And;;;;da25: turnKeep;;;;;;;
sw03-0304-fs24;B;A;;;uh, uh;;;;;da26: stalling;;;;;;
sw03-0304-fs25;B;A;;;course I've been working on it for five years;da27: inform {Expansion da29};;;;;;;;;;
sw03-0304-fs26;B;A;;;but, you know;;;;da28: turnKeep;da29: stalling;;;;;;
sw03-0304-fs27;A;B;;{F Oh, } {C but } how wonderful.  /;Oh;;;;da30: turnGrab;;;;;;;
sw03-0304-fs28;A;B;;;but how wonderful;;da31: autoPositive (Fe: da19);;;;;;;;;
sw03-0304-fs29;A;B;;Are you close to getting it done? /;Are you close to getting it done?;da32: propositionalQuestion;;;;;;;;;;
sw03-0304-fs30;B;A;;Yeah,  /;Yeah;da33: answer (Fu: da32);;;;;;;;;;
sw03-0304-fs31;B;A;;yeah,  /;yeah;da34: answer (Fu: da32);;;;;;;;;;
sw03-0304-fs32;B;A;;it's getting real close to -- -/;it's getting real close to ;da35: inform {Elaboration:da34 };;;;;;;;;;
sw03-0304-fs33;A;B;; Oh. /; Oh;;da36: autoPositive (Fe: da35);;;;;;;;;
sw03-0304-fs34;B;A;;-- {D you know, }  of course there's still a lot of work to be done,  /;you know;;;;;da37: stalling;;;;;;
sw03-0304-fs35;B;A;;;of course there's still a lot of work to be done,  ;da38: inform {Expansion da35};;;;;;;;;;
sw03-0304-fs36;B;A;;{C and  then } when you get it completely,  {D you know, } the shell finished, {F uh, }  you still have a lot of stuff to do inside,  /;and then when you get it completely, the shell finished, you still have a lot of stuff to do inside;da39: inform {Elaboration da38};;;;;;;;;;
sw03-0304-fs37;B;A;;;you know;;;;;da40: stalling;;;;;;
sw03-0304-fs38;B;A;;;uh;;;;;da41: stalling;;;;;;
sw03-0304-fs39;B;A;;{C but, }  {F uh, } -/;but, uh;;;;da42: turnKeep;da43: stalling;;;;;;
sw03-0304-fs40;A;B;;Are you going to move your whole family over there then? /;Are you going to move your whole family over there then? ;da44: propositionalQuestion;;;;;;;;;;
sw03-0304-fs41;B;A;;No,  /;No;da45: answer (Fu: da44);;;;;;;;;;
sw03-0304-fs42;B;A;;actually, {F uh, } I'm not even sure,  /;actually, I'm not even sure;da46: inform {Elaboration da45};;;;;;;;;;
sw03-0304-fs43;B;A;;;uh;;;;da47: turnKeep;da48: stalling;;;;;;
sw03-0304-fs44;B;A;;I may,  /;I may;da49: answer [uncertain] (Fu: da44);;;;;;;;;;
sw03-0304-fs45;B;A;;I'll probably always have a place here in Richardson or Dallas <noise>. /;I'll probably always have a place here in Richardson or Dallas;da50: inform [uncertain] {Elaboration da49};;;;;;;;;;
sw03-0304-fs46;A;B;;Uh-huh,  /;Uh-huh;;da51: autoPositive (Fe: da50);;;;;;;;;
sw03-0304-fs47;A;B;;kind of your getaway place. /;kind of your getaway place;da52: checkQuestion;;;;;;;;;;
sw03-0304-fs48;B;A;;Yeah,  /;Yeah;da53: confirm (Fu: da52);;;;;;;;;;
sw03-0304-fs49;B;A;; escape.  /;escape;da54: inform {Restatement da52};;;;;;;;;;
sw03-0304-fs50;B;A;;{C But } it's beautiful,  /;But it's beautiful;da55: inform {Concession da50};;;;;;;;;;
sw03-0304-fs51;B;A;; [ it's, + {D you know, } it's ] Eastern Hardwood, {F uh, } forest,  /;it's, you know, it's;;;;;da56: stalling;;;;;;
sw03-0304-fs52;B;A;;;it's Eastern Hardwood, forest,  ;da57: inform {Elaboration da55};;;;;;;;;;
sw03-0304-fs53;B;A;;;uh;;;;da58: turnKeep;da59: stalling;;;;;;
sw03-0304-fs54;B;A;;there are a lot of pine trees,  /;there are a lot of pine trees,;da60: inform {Elaboration da57};;;;;;;;;;
sw03-0304-fs55;B;A;;{C but } it's mostly oaks  /;but it's mostly oaks;da61: inform {Elaboration da60};;;;;;;;;;
sw03-0304-fs56;B;A;;{C and }  ((   )) . -/;and;;;;da62: turnKeep;;;;;;;
sw03-0304-fs57;A;B;;{F Oh, } how beautiful,  /;Oh;;;;da63: turnGrab;;;;;;;
sw03-0304-fs58;A;B;;;how beautiful;;da64: autoPositive (Fe: da60, da61);;;;;;;;;
sw03-0304-fs59;A;B;;{C and } it's pretty flat there? /;and it's pretty flat there?;da65: checkQuestion;;;;;;;;;;
sw03-0304-fs60;B;A;;{D Well, } it's kind of,  hilly,  /;Well,;;;;da66: turnTake;da67: stalling;;;;;;
sw03-0304-fs61;B;A;;;it's kind of,  hilly;da68: disconfirm (Fu: da65);;;;;;;;;;
sw03-0304-fs62;B;A;;{C but, }  it's, {D you know, } low hills,  /;but;;;;;da69: turnKeep;;;;;;
sw03-0304-fs63;B;A;;;you know, ;;;;;da70: stalling;;;;;;
sw03-0304-fs64;B;A;;;it's low hills;da71: inform {Concession da68};;;;;;;;;;
