Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments;
sw01-0105-fs1;A;B;;((Jimmy)), {D so } how do you get most of your news? /;Jimmy;;;;da1: turnAssign;;;;;;;
sw01-0105-fs2;A;B;;;so how do you get most of your news?;da2: setQuestion;;;;;;;;;;
sw01-0105-fs3;B;A;;{D Well, } [ I kind of, + {F uh, } I ] watch the, {F uh, } national news every day, for one.  /;Well;;;;da3: turnTake;da4: stalling;;;;;;
sw01-0105-fs4;B;A;;;I kind of I;;;;;;da5: selfCorrection;;;;;
sw01-0105-fs5;B;A;;;uh;;;;;da6: stalling;;;;;;
sw01-0105-fs6;B;A;;;I watch the national news every day, for one,;da7: answer (Fu: da2);;;;;;;;;;
sw01-0105-fs7;B;A;;;uh;;;;;da8: stalling;;;;;;
sw01-0105-fs8;B;A;;I also read one or two papers a day  /;I also read one or two papers a day ;da9: answer (Fu: da2);;;;;;;;;;
sw01-0105-fs9;B;A;;{C and } [ I'm a, + I'm pretty much a ] news junkie  /;and;;;;da10: turnKeep;;;;;;;
sw01-0105-fs10;B;A;;;I'm a news junkie;da11: inform;;;;;;;;;;
sw01-0105-fs11;B;A;;;I'm a, I'm pretty much a;;;;;;da12: selfCorrection;;;;;
sw01-0105-fs12;B;A;;{C and } I tune in to CNN a lot. /;and;;;;da13: turnKeep;;;;;;;
sw01-0105-fs13;B;A;;;I tune in to CNN a lot. ;da14: answer (Fu: da2);;;;;;;;;;
sw01-0105-fs14;A;B;;{F Oh, } wow.  /;Oh,  wow  ;;da15: autoPositive [surprise] (Fe: da7, da9, da14);;;;;;;;;
sw01-0105-fs15;A;B;;{D So, } when you say the morning news, or evening news or national news is when? /;So;;;;da16: turnKeep;;;;;;;
sw01-0105-fs16;A;B;;;when you say the morning news, or evening news or national news is when? /;da17: setQuestion;;;;;;;;;;
sw01-0105-fs17;B;A;;{F Uh, } every evening at six thirty, I believe, I watch the national news  /;Uh;;;;da18: turnTake;da19: stalling;;;;;;
sw01-0105-fs18;B;A;;;every evening at six thirty, I believe, I watch the national news;da20: answer [uncertain] (Fu: da17);;;;;;;;;;
sw01-0105-fs19;A;B;;{F Oh, } okay.  /;Oh;;;;da21: turnTake;da22: stalling;;;;;;
